,factors,cv_score,cv_score_std
1172,"['lattice_constant_sc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-217.44568784519652,291.4484834037713
439,"['lattice_constant_bcc', 'bulk_modulus_fcc', 'vacancy_migration_energy_fcc']",-217.48506185720734,273.6603532175594
1168,"['lattice_constant_sc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-217.5996874880406,290.6741862878211
1604,"['bulk_modulus_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-217.6372929840327,275.6168235587659
1773,"['bulk_modulus_sc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-217.6998466250577,275.810937943684
418,"['lattice_constant_bcc', 'bulk_modulus_bcc', 'vacancy_migration_energy_fcc']",-217.79716910701035,270.47875759334573
2593,"['c44_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-217.80640309592778,265.0962353957605
2323,"['c12_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-217.81988288918976,265.6246324934918
2078,"['c11_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",-217.96795560492922,281.79675415346964
1574,"['bulk_modulus_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-217.99535986754074,280.2705331115779
694,"['lattice_constant_fcc', 'bulk_modulus_bcc', 'vacancy_migration_energy_fcc']",-217.99954643344606,270.49100652861046
2088,"['c11_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-218.10293445518258,289.53277985641074
2781,"['c44_sc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-218.32866541798316,266.717720290977
847,"['lattice_constant_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-218.34431650385037,286.7843682463035
2862,"['thermal_expansion_coeff_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-218.42395139400077,270.3755073527179
2670,"['c44_fcc', 'c44_sc', 'unstable_stack_energy_fcc']",-218.54575264311498,263.28170413630465
1914,"['c11_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-218.57795039290465,257.78446134085993
2263,"['c11_sc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-218.65924186072783,266.80372537590205
789,"['lattice_constant_fcc', 'c11_sc', 'vacancy_migration_energy_fcc']",-218.7230607455781,258.260106383313
1808,"['bulk_modulus_sc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-218.7394822034973,273.82990346510877
348,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-218.80658952223888,272.0691831264118
1803,"['bulk_modulus_sc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-218.832691010754,279.2630345406545
2814,"['cohesive_energy_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-219.00618278149716,275.74716180034227
1142,"['lattice_constant_sc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-219.00968139664295,283.7528232031104
634,"['lattice_constant_bcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-219.0219190693114,271.31151355937675
2717,"['c44_fcc', 'unstable_stack_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-219.1140876151033,262.1444365063839
96,"['lattice_constant_sc', 'vacancy_migration_energy_fcc']",-219.62392084820254,283.4283543782661
2680,"['c44_fcc', 'cohesive_energy_fcc', 'unstable_stack_energy_fcc']",-219.79052386685285,262.89794385236127
544,"['lattice_constant_bcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",-219.79460004455763,275.46698264599314
1177,"['lattice_constant_sc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-220.0279179331019,278.68740410279315
2859,"['thermal_expansion_coeff_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-220.0614263029627,285.61631367661727
1179,"['lattice_constant_sc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-220.09138922526807,285.03114273730387
