,factors,r2_cv_score,rmse_cv_score
4319,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7212593941111537,-300.67263787023495
4430,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'bulk_modulus_bcc']",0.721155483375768,-314.68237395462415
4200,"['c12_sc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7211108904964907,-314.0479558492527
3090,"['unstable_twinning_energy_fcc', 'c44_fcc', 'c12_sc']",0.7203463398024536,-314.4538786864143
4123,"['c44_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.720122205711164,-311.6046323889183
3344,"['intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7199995486141063,-312.67593550967626
4317,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7197284931480972,-308.2788885346704
2678,"['unrelaxed_formation_potential_energy_fcc', 'relaxation_volume_fcc', 'vacancy_migration_energy_fcc']",0.7194665546597377,-312.9030322208298
3060,"['unstable_twinning_energy_fcc', 'c12_fcc', 'c44_fcc']",0.7194303797905849,-319.03951136827914
1024,"['unstable_stack_energy_slip_fraction_fcc', 'unstable_twinning_energy_fcc', 'c44_fcc']",0.7192967167729326,-311.5846058839941
3152,"['unstable_twinning_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7192302936189483,-315.65323056599567
3513,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7191569422766994,-305.58062506544906
4184,"['c12_sc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7191510696035808,-312.48972315776126
2940,"['bulk_modulus_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7190957395586827,-311.6028363525779
4085,"['c44_fcc', 'relaxation_volume_fcc', 'vacancy_migration_energy_fcc']",0.7184305199497508,-306.7425594069947
4437,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'bulk_modulus_bcc']",0.7184246199335417,-315.1068888117452
3923,"['c12_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7180823843363592,-312.4209412561572
2187,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7180638768768104,-305.67793884303495
