,factors,r2_cv_score,rmse_cv_score
1875,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'c11_fcc']",0.7835111384452702,-237.74302498991798
1922,"['vacancy_migration_energy_fcc', 'bulk_modulus_bcc', 'bulk_modulus_sc']",0.7832617051093708,-242.44430791184683
1791,"['vacancy_migration_energy_fcc', 'c44_bcc', 'unstable_stack_energy_fcc']",0.783142701395701,-234.0813252446884
1884,"['vacancy_migration_energy_fcc', 'bulk_modulus_fcc', 'c11_fcc']",0.7826927467136449,-234.02080474750244
1781,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'relaxation_volume_fcc']",0.7825882981134933,-238.96374937472186
1889,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'relaxation_volume_fcc']",0.7824684965129556,-234.98559973789918
1896,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'c11_sc']",0.7822600979152853,-237.14920151640945
1789,"['vacancy_migration_energy_fcc', 'c44_bcc', 'lattice_constant_fcc']",0.7821153678247103,-240.56156414253056
1708,"['vacancy_migration_energy_fcc', 'c12_fcc', 'ideal_surface_energy_100_fcc']",0.7820392517479395,-224.6319102419143
1803,"['vacancy_migration_energy_fcc', 'c44_bcc', 'bulk_modulus_sc']",0.7818534098689232,-242.29929465604724
1870,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'bulk_modulus_fcc']",0.7817005744867929,-244.20620991904468
