,species,Strength (Mpa),citations,model
3,Ag,1077,"\cite{OpenKIM-MO:626948998302:000a},\cite{OpenKIM-MO:626948998302:000b},\cite{OpenKIM-MO:626948998302:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesBaskesDaw\_1986Universal3\_Ag\_\_MO\_626948998302\_000
1,Ag,1326,"\cite{OpenKIM-MO:055919219575:000a},\cite{OpenKIM-MO:055919219575:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987v2\_Ag\_\_MO\_055919219575\_000
0,Ag,1354,"\cite{OpenKIM-MO:212700056563:005a},\cite{OpenKIM-MO:212700056563:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987\_Ag\_\_MO\_212700056563\_005
150,Ag,1895,"\cite{OpenKIM-SM:485325656366:001a},\cite{OpenKIM-SM:485325656366:001}",Sim\_LAMMPS\_MEAM\_GaoOterodelaRozaAouadi\_2013\_AgTaO\_\_SM\_485325656366\_001
20,Al,501,"\cite{OpenKIM-MO:418978237058:005a},\cite{OpenKIM-MO:418978237058:005b},\cite{OpenKIM-MO:418978237058:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AngeloMoodyBaskes\_1995\_NiAlH\_\_MO\_418978237058\_005
58,Al,542,"\cite{OpenKIM-MO:131650261510:005a},\cite{OpenKIM-MO:131650261510:005b},\cite{OpenKIM-MO:131650261510:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Al\_\_MO\_131650261510\_005
59,Al,552,"\cite{OpenKIM-MO:049243498555:000a},\cite{OpenKIM-MO:049243498555:000b},\cite{OpenKIM-MO:049243498555:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouWadleyJohnson\_2001\_Al\_\_MO\_049243498555\_000
22,Al,585,"\cite{OpenKIM-MO:942551040047:005a},\cite{OpenKIM-MO:942551040047:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_CaiYe\_1996\_AlCu\_\_MO\_942551040047\_005
54,Al,621,"\cite{OpenKIM-MO:284963179498:005a},\cite{OpenKIM-MO:284963179498:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_VailheFarkas\_1997\_CoAl\_\_MO\_284963179498\_005
57,Al,636,"\cite{OpenKIM-MO:060567868558:000a},\cite{OpenKIM-MO:060567868558:000b},\cite{OpenKIM-MO:060567868558:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Al\_\_MO\_060567868558\_000
55,Al,652,"\cite{OpenKIM-MO:149316865608:005a},\cite{OpenKIM-MO:149316865608:005b},\cite{OpenKIM-MO:149316865608:005c},\cite{OpenKIM-MO:149316865608:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WineyKubotaGupta\_2010\_Al\_\_MO\_149316865608\_005
53,Al,683,"\cite{OpenKIM-MO:120808805541:005a},\cite{OpenKIM-MO:120808805541:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_SturgeonLaird\_2000\_Al\_\_MO\_120808805541\_005
155,Al,686,"\cite{OpenKIM-SM:871795249052:000a},\cite{OpenKIM-SM:871795249052:000}",Sim\_LAMMPS\_MEAM\_AlmyrasSangiovanniSarakinos\_2019\_NAlTi\_\_SM\_871795249052\_000
28,Al,731,"\cite{OpenKIM-MO:411692133366:000a},\cite{OpenKIM-MO:411692133366:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_JacobsenNorskovPuska\_1987\_Al\_\_MO\_411692133366\_000
153,Al,745,"\cite{OpenKIM-SM:113843830602:000a},\cite{OpenKIM-SM:113843830602:000}",Sim\_LAMMPS\_ADP\_StarikovGordeevLysogorskiy\_2020\_SiAuAl\_\_SM\_113843830602\_000
56,Al,758,"\cite{OpenKIM-MO:519613893196:000a},\cite{OpenKIM-MO:519613893196:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Zhakhovsky\_2009\_Al\_\_MO\_519613893196\_000
50,Al,771,"\cite{OpenKIM-MO:137572817842:000a},\cite{OpenKIM-MO:137572817842:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_SchopfBrommerFrigan\_2012\_AlMnPd\_\_MO\_137572817842\_000
159,Al,789,"\cite{OpenKIM-SM:811588957187:000a},\cite{OpenKIM-SM:811588957187:000}",Sim\_LAMMPS\_MEAM\_PascuetFernandez\_2015\_Al\_\_SM\_811588957187\_000
39,Al,809,"\cite{OpenKIM-MO:577453891941:005a},\cite{OpenKIM-MO:577453891941:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevSrolovitzAckland\_2005\_AlFe\_\_MO\_577453891941\_005
